((2, 10), 0.16800000000000004)
((2, 19), 0.16800000000000004)
((3, 20), 0.16800000000000004)
((3, 23), 0.16800000000000004)
((5, 15), 0.16800000000000004)
((4, 22), 0.17200000000000004)
((4, 38), 0.17200000000000004)
((4, 57), 0.17200000000000004)
((3, 16), 0.17600000000000005)
((5, 22), 0.17600000000000005)
((9, 10), 0.17600000000000005)
((9, 17), 0.17600000000000005)
((5, 6), 0.18000000000000005)
((6, 9), 0.18000000000000005)
((6, 13), 0.18000000000000005)
((7, 13), 0.18000000000000005)
((8, 13), 0.18000000000000005)
((2, 44), 0.18400000000000005)
((3, 4), 0.18400000000000005)
((4, 27), 0.18400000000000005)
((4, 34), 0.18400000000000005)
((4, 51), 0.18400000000000005)
((10, 14), 0.18400000000000005)
((0, 6), 0.18799999999999994)
((3, 40), 0.18799999999999994)
((3, 53), 0.18799999999999994)
((4, 14), 0.18799999999999994)
((5, 20), 0.18799999999999994)
((3, 15), 0.19199999999999995)
((9, 15), 0.19199999999999995)
((3, 6), 0.19599999999999995)
((1, 6), 0.20399999999999996)
((2, 8), 0.20399999999999996)
((3, 35), 0.20399999999999996)
((3, 38), 0.20399999999999996)
((3, 41), 0.20399999999999996)
((4, 18), 0.20399999999999996)
((5, 17), 0.20399999999999996)
((9, 11), 0.20399999999999996)
((12, 55), 0.20399999999999996)
((25, 29), 0.20399999999999996)
((3, 50), 0.20799999999999996)
((3, 57), 0.20799999999999996)
((3, 58), 0.20799999999999996)
((4, 31), 0.20799999999999996)
((5, 13), 0.20799999999999996)
((4, 23), 0.21199999999999997)
((4, 58), 0.21199999999999997)
((5, 7), 0.21199999999999997)
((9, 19), 0.21199999999999997)
((2, 24), 0.21599999999999997)
((3, 14), 0.21599999999999997)
((3, 33), 0.21599999999999997)
((3, 44), 0.21599999999999997)
((5, 18), 0.21599999999999997)
((9, 16), 0.21599999999999997)
((10, 13), 0.21599999999999997)
((3, 51), 0.21999999999999997)
((4, 19), 0.21999999999999997)
((4, 24), 0.21999999999999997)
((5, 23), 0.21999999999999997)
((5, 28), 0.21999999999999997)
((3, 30), 0.22399999999999998)
((3, 43), 0.22399999999999998)
((3, 49), 0.22399999999999998)
((3, 52), 0.22399999999999998)
((3, 56), 0.22399999999999998)
((4, 16), 0.22399999999999998)
((4, 28), 0.22399999999999998)
((4, 54), 0.22399999999999998)
((5, 34), 0.22399999999999998)
((6, 8), 0.22399999999999998)
((3, 24), 0.22799999999999998)
((3, 36), 0.22799999999999998)
((4, 20), 0.22799999999999998)
